base_currency,destination_currency,purchase_value,sale_value,date_time
USD,BRL,5.890700,5.893700,2025-04-15 16:52:53
USD,BRLT,5.932870,6.116060,2025-04-15 16:52:53
CAD,BRL,4.213490,4.224710,2025-04-15 16:52:16
EUR,BRL,6.640110,6.657790,2025-04-15 16:52:16
GBP,BRL,7.791620,7.795590,2025-04-15 16:52:53
ARS,BRL,0.004910,0.004924,2025-04-15 16:52:16
BTC,BRL,496677.000000,496678.000000,2025-04-15 16:52:57
LTC,BRL,444.500000,445.100000,2025-04-15 16:52:57
JPY,BRL,0.041134,0.041155,2025-04-15 16:52:53
CHF,BRL,7.152980,7.172020,2025-04-15 16:52:16
AUD,BRL,3.735900,3.745850,2025-04-15 16:52:16
CNY,BRL,0.793363,0.800886,2025-04-15 08:59:16
ILS,BRL,1.599141,1.604135,2025-04-15 16:42:46
ETH,BRL,9494.950000,9496.690000,2025-04-15 16:52:59
XRP,BRL,12.542000,12.544000,2025-04-15 16:52:58
EUR,USD,1.128470,1.128540,2025-04-15 16:52:58
CAD,USD,0.716050,0.716160,2025-04-15 16:52:58
GBP,USD,1.322620,1.322730,2025-04-15 16:52:58
ARS,USD,0.000835,0.000835,2025-04-15 16:52:51
JPY,USD,0.006982,0.006983,2025-04-15 16:52:52
CHF,USD,1.215561,1.215665,2025-04-15 16:53:00
AUD,USD,0.634910,0.634950,2025-04-15 16:53:00
CNY,USD,0.135409,0.136763,2025-04-15 05:17:59
ILS,USD,0.271739,0.271924,2025-04-15 12:00:24
BTC,USD,84099.990000,84100.000000,2025-04-15 16:53:00
LTC,USD,75.270000,75.280000,2025-04-15 16:53:00
ETH,USD,1607.830000,1607.840000,2025-04-15 16:53:00
XRP,USD,2.123000,2.123100,2025-04-15 16:53:00
BRL,USD,0.169664,0.169751,2025-04-15 16:52:58
BRL,EUR,0.150200,0.150600,2025-04-15 16:52:16
USD,EUR,0.886100,0.886160,2025-04-15 16:53:00
CAD,EUR,0.634520,0.634690,2025-04-15 16:53:01
GBP,EUR,1.172010,1.172120,2025-04-15 16:53:02
ARS,EUR,0.000740,0.000740,2025-04-15 16:52:47
JPY,EUR,0.006185,0.006191,2025-04-15 16:52:58
CHF,EUR,1.077122,1.077366,2025-04-15 16:53:02
AUD,EUR,0.562610,0.562690,2025-04-15 16:53:01
CNY,EUR,0.119990,0.121190,2025-04-15 16:52:47
ILS,EUR,0.239848,0.240038,2025-04-15 12:00:24
BTC,EUR,74580.800000,74580.810000,2025-04-15 16:53:01
LTC,EUR,66.760000,66.780000,2025-04-15 16:53:03
ETH,EUR,1425.630000,1425.730000,2025-04-15 16:53:02
XRP,EUR,1.882700,1.883100,2025-04-15 16:53:03
DOGE,BRL,0.916700,0.916900,2025-04-15 16:53:03
DOGE,EUR,0.137610,0.137630,2025-04-15 16:53:03
DOGE,USD,0.155190,0.155200,2025-04-15 16:53:03
USD,JPY,143.197000,143.207000,2025-04-15 16:53:02
USD,CHF,0.822550,0.822700,2025-04-15 16:53:02
USD,CAD,1.396280,1.396400,2025-04-15 16:53:02
NZD,USD,0.590270,0.590360,2025-04-15 16:53:00
USD,ZAR,19.046200,19.068400,2025-04-15 16:53:05
USD,TRY,38.070600,38.080600,2025-04-15 16:52:58
USD,MXN,20.120850,20.125850,2025-04-15 16:53:05
USD,PLN,3.803188,3.805572,2025-04-15 16:53:05
USD,SEK,9.869850,9.875310,2025-04-15 16:53:03
USD,SGD,1.318800,1.318950,2025-04-15 16:53:00
USD,DKK,6.615600,6.616100,2025-04-15 16:53:05
USD,NOK,10.639610,10.645310,2025-04-15 16:53:04
USD,ILS,3.676720,3.680920,2025-04-15 12:02:03
USD,HUF,361.544000,361.882000,2025-04-15 16:53:04
USD,CZK,22.209000,22.239000,2025-04-15 16:53:06
USD,THB,33.550000,33.570000,2025-04-15 16:53:02
USD,AED,3.672700,3.673300,2025-04-15 10:00:21
USD,JOD,0.706700,0.711700,2025-04-15 14:09:35
USD,KWD,0.306350,0.307350,2025-04-15 16:27:44
USD,HKD,7.758200,7.758300,2025-04-15 16:53:06
USD,SAR,3.748061,3.756924,2025-04-15 16:49:57
USD,INR,85.732400,85.732900,2025-04-15 16:53:03
USD,KRW,1427.460000,1429.460000,2025-04-15 16:53:03
FJD,USD,0.433201,0.438193,2025-04-15 16:27:44
GHS,USD,0.064367,0.064551,2025-04-15 08:19:05
KYD,USD,1.174037,1.224784,2025-04-15 08:19:05
SGD,USD,0.758162,0.758265,2025-04-15 16:53:06
USD,ALL,85.491577,89.902907,2025-04-15 08:19:05
USD,AMD,364.395630,417.334400,2025-04-15 08:19:05
USD,ANG,1.789020,1.789199,2025-04-15 12:37:03
USD,ARS,1198.288550,1198.296530,2025-04-15 16:53:06
USD,AUD,1.574850,1.575120,2025-04-15 16:53:06
USD,BBD,1.976823,2.065050,2025-04-15 08:19:06
USD,BDT,120.024527,123.200713,2025-04-15 08:19:07
USD,BGN,1.725290,1.745290,2025-04-15 16:52:57
USD,BHD,0.374229,0.379546,2025-04-15 16:27:44
USD,BIF,2951.003400,3000.410300,2025-04-15 08:19:06
USD,BND,1.294902,1.339015,2025-04-15 08:19:05
USD,BOB,6.739630,7.092536,2025-04-15 08:19:05
USD,BSD,0.994764,1.007116,2025-04-15 08:19:06
USD,BWP,13.664898,13.947230,2025-04-15 08:19:05
USD,BZD,1.966394,2.054621,2025-04-15 08:19:05
USD,CLP,967.980000,971.580020,2025-04-15 16:42:27
USD,CNY,0.311900,7.292600,2025-04-14 18:00:00
USD,COP,4345.830000,4349.330000,2025-04-15 16:42:09
USD,CRC,493.363150,518.066600,2025-04-15 08:19:06
USD,CUP,23.995201,24.048139,2025-04-15 08:19:06
USD,DJF,178.049500,178.067300,2025-03-18 22:47:24
USD,DOP,60.453401,61.865039,2025-04-15 08:19:06
USD,DZD,132.409582,133.295816,2025-04-15 16:49:57
